"","AWT_seg_Thirona_P2","BODE_P2","Change_P2_P3_distwalked","Change_P2_P3_FEV1_ml","Change_P2_P3_FEV1_ml_yr","Change_P2_P3_FEV1pp","Change_P2_P3_lung_density_vnb","Chronic_Bronchitis_P2","copd_P2","distwalked_P2","DLco_raw_P2","Exacerbation_Frequency_P2","FEF2575_post_P2","FEV1_FVC_post_P2","FEV1_post_P2","finalGold_P2","FRC_Thirona_P2","FRC_TLC_ratio_Thirona_P2","FVC_post_P2","lung_density_vnb_P2","pctEmph_Thirona_P2","pctGasTrap_Thirona_P2","PEF_post_P2","Pi10_Thirona_P2","Resting_SaO2_P2","Severe_Exacerbations_P2","SGRQ_scoreTotal_P2","TLC_Thirona_P2","WallAreaPct_seg_Thirona_P2"
"M0000000381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000295116333472715,0,0,0,0,0,0,0,0,0,0,0
"M0000000391",0,0,0,0,0,0,0,0,0,0,-0.236222655836157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000397",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102314918619494,0,0,0,0,0
"M0000000409",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153172276028088,0,-0.259543475686018,0,-0.00942137941255691,0,0,0,0,0,0,0,0,0,0,0
"M0000000415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291050094318521,0,0,0,0
"M0000000439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000444",0,0,0,0,0,0,0,0,0.141935264306274,0,0,0,-0.0665971179128375,0,0,0.0212769129856356,0.0333971335584805,0.0387283879099964,0,0,0,0,0,0.0700644562985414,0,0,0,0,1.53710384515589
"M0000000445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00165525872354277,0,0,0,0,0,0,0,0,0,0,0
"M0000000452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000460",0.00378369236031349,0,0,0,0,0,0,0,0,0,-2.10847839187285,0,0,0,-0.355141574473444,0,0,0,-0.156214507503139,0,0,0,0,0,0,0,0,0,0
"M0000000461",0,0,0,0,0,0,0,0,0,42.5379662120049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000466",0,0,0,0,0,0,0,0,0,8.96138264610624,0,0,0.00364317889405909,0,0.0461266168215452,-0.0376520875291439,0,0,0.0128715305815137,0,0,0,0.0102334460613282,-0.0192255446330734,0,0,-0.0747523807200771,0,-0.0504987415520147
"M0000000480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000482",0,0,0,0,0,0,0,0,0.190356147422622,0,-0.254277053883187,0,-0.0433612545984068,-0.0215938346301253,-0.0676330534677985,0.189330248438697,0,0.0450950693172037,0,0,0,0,0,0,0,0,0.110158522501244,0,0
"M0000000498",-0.0430609690437821,-0.452150511454679,0,0,0,0,0,0,-0.0101950132710555,60.5566549045491,1.31419272463381,0,0.13555727085139,0.00260378614207708,0.244870491775189,-0.278675381564711,0,-0.0132078432098051,0.204138408386252,0,0,0,0.535759261048251,-0.077765365242011,1.58248902701303,0,-0.209186371869464,0,-2.8944917531177
"M0000000501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000503",-0.0254615833873636,0,0,0,0,0,0,0,-0.588584819577167,134.228641805178,0,0,0.372863585713641,0,0.233532851099054,-0.0855526796513351,0,0,2.092112686496e-06,0,-0.0236197565218917,-0.0563904164944885,0.69556801060213,-0.0110500688609562,0.268718461474927,0,0,0,-0.599254268033846
"M0000000512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000533",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018270896536952,0,0,0,0,0
"M0000000535",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000536",0,0,0,0,0,0,0,0,0,0,0.579318823701793,0,0,0,0,0,0,-0.00925088431987561,0,-4.03828674040044,0.199285526495197,0,0,0,-0.30769089520623,0,0,0.0296640852984415,0
"M0000000537",0,0,0,0,0,0,0,0,0.142115760301904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000312103186016377,-0.12783189450377,0,0,0,0
"M0000000561",0.0524777677580084,0,0,0,0,0,0,0,0,0,1.55425595684983,0,0,0,0,0,0,0,0,4.26023580955113,-0.0368607691263603,0,0,0.0338223485280906,-0.0454408052440758,0,0,0,1.72825666725915
"M0000000563",0,0,0,0,0,0,0,0,0.0410337754602726,0,0,0,-0.302361214566298,-0.109892137271339,-0.347917130614438,0.997065774522336,0.061030599125038,0.0594234074809347,0,0,0,0,-0.508190111243324,0.160923276951124,0,0,0,0,0
"M0000000564",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00818642135208655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000565",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0348223531980703,0,0.10064000942481,0.00417683063556865,0,0,0,0,0,0,0.00296887634636199,-0.121091678691755,0,0,0,0
"M0000000566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000799",0.0829088990397309,0,0,0,0,0,0,0,0,0,0,0,-0.00337764055823559,0,0,0.092459580549715,0,0,0,0,0,0,0,0.042432563989439,0,0,0,0,0.775348639704886
"M0000000800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00622447769683151,0,0,0,0,0,0,0,0,0,0,0
"M0000000803",0.0854178023125151,0.10031162649769,0,0,0,0,0,0,0,-166.357082935616,0,0,0,0,0,0,0,0.00899958423157983,0,0,0,0,0,0.00860353554511795,0,0,0.196826482757233,0,2.70097996324183
"M0000000806",0,0,0,0,0,0,0,0,-0.107789998501422,0,0,0,0,0,0,-0.138695162736858,0,0,0,0,0,0,0,-0.00869987466650642,0,0,0,0,0
"M0000000811",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455899464354621,0,-0.474539773605061,-0.0560670774826332,-0.0512287761132358,0,0,0,0,0.3260368629411,-0.0938967067213672,0.525276661199948,0,0,0,-0.186588930873262
"M0000000815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000838427118020743,0,0,0,0,0.0465362627514246,0,0,0,0,0,0
"M0000000818",0,0,0,0,0,0,0,0,0,0.629956149402253,0,0,0,0,0,-0.00279913494937591,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00820723598213421,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.27926533776725,0,0,0,0,0,0,0,0.000416451406883588,0
"M0000000878",0,0,0,0,0,0,0,0,-0.0294657712338432,0,0,0,0.0195265828844868,0,0,0,0,0,0,0,0,-0.00986892216875698,0,0,0,0,0,0,0
"M0000000888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435632621088951,0,0,0,0,0,0,0,0,0,0
"M0000000891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000893",-0.0141106574433496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101943376815033
"M0000000913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000917",0,-0.0107344196693266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208003777409826,0,0
"M0000000923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00154575113739903,0
"M0000000925",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0232453862807369,0,0,0,0,0,0,0,0,0,0
"M0000000926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195832138353022,0.0646518600750031,0,0,-0.0507967449262968,0,0,0,0,0,0,0,0,0,0
"M0000000932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133887416989798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000935",0,0,0,0,0,0,0,0,0,0,-0.215739686976619,0,-0.00391993606037871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000001001",0,0,0,0,0,0,0,0,0,-11.1068652909784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000001002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00718580477980523,0,0,0,0,0,0,0,0,0,0,0.00131564649917097,0
"M0000001004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
